n   r  total_calls  O(calls)  time(microseconds)
24724 222 7503761 4715007 775045
24951 223 7840519 5023077 626820
25220 224 5660773 2831048 555150
25314 225 5699150 2849575 610612
25307 226 7730061 4837714 695464
25681 227 5825088 2912544 601690
26050 228 5935596 2967798 532268
26174 229 6019556 3009778 510022
26357 230 6080946 3040928 684924
26775 231 8468763 5332009 695102
26841 232 8466662 5334084 718036
26936 233 6280684 3140342 556238
27383 234 6429968 3214984 606498
27501 235 8942553 5682180 766428
27768 236 9063485 5751440 674687
28310 237 6679898 3339949 619555
28309 238 6747936 3373968 570406
28678 239 9411393 5948589 671916
28655 240 6862290 3431145 594298
28961 241 9477185 5940526 831318
29043 242 9646765 6095159 906345
29443 243 9768818 6162307 1059630
29789 244 9912037 6243250 926375
30076 245 10130499 6414423 786984
30296 246 10123716 6378091 778592
30463 247 7541226 3770613 780751
30976 248 10327561 6454191 920999
30759 249 7655886 3827943 727671
31459 250 10958953 7002959 970384
31327 251 10673407 6700857 1296011
31840 252 8027658 4013829 791645
31928 253 11203504 7134813 772023
32224 254 11062277 6932686 745001
32523 255 8325889 4163324 805134
32639 256 8349780 4174890 673675
32908 257 19741506 15371153 1053832
33230 258 8569610 4284805 809034
33365 259 11268132 6918419 860549
33498 260 8717100 4358550 797002
33931 261 8867539 4435667 819983
34328 262 16605935 11986215 964971
34761 263 9150622 4587245 1310607
34903 264 9210982 4605491 1256668
35224 265 9354950 4677475 1013471
35265 266 9384212 4692106 1130438
35669 267 9520022 4760011 1113446
35713 268 13151956 8322937 1172215
36034 269 17831753 12892375 1115535
36209 270 13387688 8436375 963611
36605 271 9942560 4971280 936323
37154 272 13867960 8775281 1001383
37203 273 10142126 5071063 1015851
37348 274 14102258 8948040 1092233
37578 275 13860771 8646195 1087303
37934 276 10502389 5264279 1140171
38634 277 14523884 9147337 1080964
38600 278 10718282 5359141 1087658
39078 279 10897578 5448789 961464
39255 280 20077698 14499335 1193325
39306 281 14889159 9323856 1126536
39957 282 11272948 5636474 974588
40051 283 15906268 10192514 1541545
40291 284 15384822 9611206 1413114
40897 285 11655292 5827646 1216471
40922 286 15861521 9962453 1240292
41284 287 16366074 10424282 1267644
41539 288 16549460 10511436 1361789
41612 289 12031684 6015842 1092552
42037 290 12184562 6092281 1112372
42420 291 16925842 10691374 1264500
42640 292 12449447 6225589 1085407
42905 293 17199746 10848491 1207258
43137 294 12699232 6349616 1058635
43531 295 12867970 6450302 1161200
43990 296 23598256 16976404 1332136
43964 297 18240564 11640583 1243890
44479 298 18100124 11390229 1637629
44757 299 18443174 11704614 1339105
44737 300 13405148 6702574 1205737
45426 301 18948206 12061768 1289988
45725 302 13796984 6898492 1166325
45854 303 19063283 12060725 1314396
46186 304 18976255 11886831 1301224
46626 305 14191004 7095502 1232294
46550 306 19319208 12138238 1311031
47100 307 19691411 12410853 1486963
47186 308 19712974 12396813 1332896
47433 309 14671482 7335741 1294777
48100 310 27718160 20149524 1834396
48385 311 15054283 7528216 1766683
48838 312 15278566 7639283 1405360
49086 313 15363265 7683771 1603584
49166 314 15418520 7709260 1360268
49671 315 15632210 7816105 1435380
49935 316 15764186 7882093 1432618
50400 317 22012560 13981993 2086450
50743 318 16145654 8078638 2524804
50668 319 22093756 13955935 1893064
51061 320 22690765 14461778 1705774
51404 321 16561373 8298841 1588087
51821 322 23063487 14668528 1852715
52139 323 23006973 14538118 1952773
52606 324 23339585 14747552 1699465
52550 325 23237971 14615122 1758106
53062 326 17323514 8661757 1474677
53426 327 23885471 15085925 1607360
53810 328 24208230 15321215 1692711
54055 329 17750804 8875402 1688333
54462 330 17971068 8985534 1726841
54816 331 25013044 15851989 2373518
55020 332 24888933 15661572 2047005
55436 333 18503372 9254282 1955792
55681 334 18566340 9283170 1727501
56076 335 25850320 16423219 2413247
56483 336 26375660 16796737 2332162
56653 337 19050800 9529294 1794739
57037 338 26281476 16597910 2579218
57575 339 26744837 16918764 2188707
57850 340 19711906 9855953 1809141
58312 341 19872280 9939605 1878513
58701 342 20027450 10013725 1869369
59061 343 27670838 17491491 2234995
59538 344 28473882 18148518 2769783
59453 345 28095388 17758318 3012181
59920 346 38339747 27851823 2811054
60299 347 20905186 10452593 1801026
60809 348 39126457 28396227 2248876
61335 349 21410716 10705358 1813843
61298 350 21481694 10740847 2402730
61569 351 29572397 18677910 1916374
61808 352 21707932 10853966 2076795
62305 353 40777112 29625181 2880872
62555 354 40862126 29666422 2307286
63135 355 22425658 11212829 1889758
63496 356 22613766 11306883 2053725
63703 357 31220249 19765524 2375821
64247 358 22974736 11487368 2112738
64342 359 42734459 30995244 2549136
64921 360 32032158 20298080 2529311
65347 361 32455834 20606156 2848249
65559 362 32838263 20863624 2537226
65845 363 43245121 31127286 3821686
65892 364 23961120 11980560 2375641
66718 365 33078636 20794675 2599750
66739 366 24445796 12222898 2835200
67206 367 24777830 12412744 3768365
67571 368 24832344 12416172 4443566
68180 369 34031031 21423618 2781410
68249 370 33700383 20980364 2723388
68821 371 34610761 21793516 2887734
68861 372 34698588 21840195 2874752
69409 373 25945015 12998501 2583101
70105 374 35946867 22735917 2904999
70320 375 35791326 22504029 2990709
70975 376 26710807 13379258 2580137
71338 377 37306421 23764482 3141331
71248 378 26953245 13477560 2665060
72196 379 37655238 23862170 3593917
72092 380 37313657 23539742 3422143
72958 381 27821570 13910785 2619745
72799 382 38063008 24078051 3011339
73373 383 28143638 14099293 3298763
73884 384 28407477 14229111 3388516
73611 385 38158606 23885805 3338516
74442 386 39052224 24612342 3204202
74690 387 28924542 14462271 2739097
